adyen,Success,wallet
adyen,Failure,wallet
paypal,Failure,card,credit
paypal,Failure,bnpl
paypal,Failure,bnpl
adyen,Success,card,debit
stripe,Success,card,credit
paypal,Success,card,debit
stripe,Success,card,credit
adyen,Success,wallet
paypal,Failure,card,debit
adyen,Failure,card,credit
stripe,Success,card,debit
paypal,Success,card,credit
stripe,Success,card,debit
paypal,Success,card,debit
stripe,Success,card,debit
paypal,Failure,card,credit
paypal,Failure,card,credit
stripe,Failure,wallet
stripe,Success,card,debit
stripe,Success,card,credit
paypal,Success,card,debit
paypal,Failure,bnpl
paypal,Success,card,debit
stripe,Success,card,credit
paypal,Failure,card,credit
stripe,Failure,wallet
adyen,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,credit
paypal,Failure,bnpl
stripe,Success,card,debit
adyen,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,wallet
paypal,Failure,bnpl
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,bnpl
stripe,Success,card,debit
adyen,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Failure,wallet
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,wallet
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,credit
adyen,Failure,wallet
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Failure,bnpl
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,card,credit
adyen,Success,wallet
adyen,Failure,wallet
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,credit
adyen,Failure,wallet
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,credit
adyen,Success,wallet
stripe,Success,card,credit
stripe,Success,bnpl
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,credit
stripe,Success,card,debit
paypal,Failure,bnpl
stripe,Success,card,debit
stripe,Success,card,debit
stripe,Success,card,credit
stripe,Success,card,debit
stripe,Success,card,debit
